"nomefaltaRocK","Tue Jun 30 00:23:15 +0000 2015","Un gran tema para el entretiempo #chi #per Led Zeppelin - Stairway to Heaven Live (HD) https://t.co/YdIwnLEaqF #copaAmerica"
"Ju597","Tue Jun 30 00:23:15 +0000 2015","RT @chizodlcastillo: Ya empezaron con las cosas turbias... vidal se merecia una amarilla #copaamerica #directvsports #chile #PeruVsChile"
"Ant17BITW","Tue Jun 30 00:23:15 +0000 2015","RT @AdrianneViz: This game is giving me anxiety #copaamerica #PeruVsChile #comeonPeru #peru"
"DiariodeCA","Tue Jun 30 00:23:15 +0000 2015","RT @MaxSPerez_GT: Min. 42 Vargas concluye una gran jugada de Alexis Sanchez.
#Chile 1-0 #Peru
#CopaAmerica #Chile2015"
"Ferna_Perez","Tue Jun 30 00:23:16 +0000 2015","RT @CA2015: En esta #CopaAmerica tres de las siete tarjetas rojas han sido a rivales de #Chile. Via @OptaJavier 
http://t.co/odwZKGSCfk"
"elaizamfa","Tue Jun 30 00:23:16 +0000 2015","RT @liderendeportes: #CopaAmerica | #Chile 1-0 #Peru | #Videos: Lo mejor del primer tiempo | http://t.co/HzsMyU8V2g http://t.co/VcWNcAjEYH"
"Sergiomontoya21","Tue Jun 30 00:23:17 +0000 2015","RT @canalN_: #CopaAmerica: arbitro saco tarjeta roja a Zambrano #PeruVsChile http://t.co/xqWoeDOgrG http://t.co/mXqrTGNmLz"
"IQJohnJimenez","Tue Jun 30 00:23:17 +0000 2015","RT @el_pais: ¡Gol de Vargas!  #Chile 1 - #Peru 0 #CopaAmerica. Sigue el partido minuto a minuto -&gt; http://t.co/c85SFg5pok http://t.co/5d9…"
"LaQuotaVincente","Tue Jun 30 00:23:17 +0000 2015","Fine p.t. #ChilevsPeru 1-0 Edu Vargas.
Laltro #Vargas protesta il #Chile esulta!
#Chile2015 #CopaAmerica #BlabLIVE http://t.co/MxdgOqF4wS"
"FrancoA_Atao","Tue Jun 30 00:23:18 +0000 2015","#Zambrano que huevon eress estaban jugando bien #PeruVsChile #CopaAmerica"
"sebadh","Tue Jun 30 00:23:18 +0000 2015","RT @elbocononline: #CopaAmerica: Cuy Rolando vaticina triunfo de la bicolor previo al #Peru vs #Chile [VIDEO] http://t.co/Fm072Ojs5a http:/…"
